species	subgenus	type	typeref	common	common(s)	range	rangecites	region	status
osa	Minuca	Uca osa	Landstorfer2010	Osa Fiddler Crab	Osa Fiddler Crab	"Costa Rica (Gulf of Dulce, Península de Osa)"	Landstorfer2010	Eastern Pacific	extant
panacea	Minuca	Uca panacea	Novak1974	Gulf Coast Fiddler Crab	"Gulf Coast Fiddler Crab, Gulf Sand Fiddler Crab"	USA (Northwest Florida) to Mexico	Hopkins2010.2	Western Atlantic	extant
panamensis	Minuca	Gelasimus panamensis	Stimpson1859	Rock Fiddler Crab	"Rock Fiddler Crab, Panamanian Fiddler Crab"	El Salvador to Northern Peru	Crane1975	Eastern Pacific	extant
paradussumieri	Tubuca	Mesuca paradussumieri	Bott1973.2	Spined Fiddler Crab	Spined Fiddler Crab	"Northeastern India, Thailand, Indonesia, Malaysia, Vietnam, Cambodia China"	Crane1975;Frith1977.3;Frith1978;Dai1991;Jones1994	Indo-West Pacific	extant
perplexa	Austruca	Gelasimus perplexus	MilneEdwards1852	Perplexing Fiddler Crab	Perplexing Fiddler Crab	"Eastern Indian Ocean (from the Nicobar Is. eastward), Thailand to China, Taiwan, Japan, Philippines, Indonesia, Australia (east coast), Pacific islands"	Shih2009;Naderloo2010;Barnes2010	Indo-West Pacific	extant
polita	Australuca	Uca polita	Crane1975	Polished Fiddler Crab	Polished Fiddler Crab	Australia (Northwest coast through Northeast coast)	George1982;vonHagen1989	Indo-West Pacific	extant
princeps	Uca	Gelasimus princeps	Smith1870.2	Princely Fiddler Crab	"Princely FiddlerCrab, Greater Mexican Fiddler Crab"	Mexico to Peru	Crane1975;Brusca1980;Hendrickx1984	Eastern Pacific	extant
pugilator	Minuca	Ocypoda pugilator	Bosc1802	Atlantic Sand Fiddler Crab	Atlantic Sand Fiddler Crab; Fever Crab	"USA (Massachusetts to Mississippi, scattered in Texas), Bahamas"	Hopkins2010.2	Western Atlantic	extant
pugnax	Minuca	Gelasimus pugnax	Smith1870.2	Atlantic Mud Fiddler Crab	"Atlantic Mud Fiddler Crab, Atlantic Marsh Fiddler Crab"	Massachusetts to Northwest Florida	Hopkins2010.2	Western Atlantic	extant
pygmaea	Minuca	Uca pygmaea	Crane1941	Pygmy Fiddler Crab	Pygmy Fiddler Crab	Costa Rica (Gulf of Dulce) to Colombia (Buenaventura)	Crane1975;vonPrahl1982;Abele1989	Eastern Pacific	extant
